lat,long,nu_ddd_farmacia,nu_telefone_farmacia,nu_cep_farmacia,no_bairro_farmacia,ds_endereco_farmacia,no_farmacia,no_cidade,uf
-23.3987301,-47.003096,98,34711569,65500000,CENTRO,"AV JOSE CAETANO, 183",AMILTON A AGUIAR COMERCIO - ME,CHAPADINHA,MA
-23.5803013,-46.6581312,11,66957985,3002000,BRÁS,AV. RANGEL PESTANA Nº 1996,DROGASIL S.A.,SAO PAULO,SP
-18.9489888,-51.9088121,79,33141013,49790000,CENTRO,"RUA DA BANDEIRA, 61",WAYNE & GONZAGA LTDA - ME,MARUIM,SE
-22.9124159,-47.0449231,19,32522874,13026137,JARDIM PROENCA,"AVENIDA PRINCESA D'OESTE, 1375",RAIA DROGASIL S/A,CAMPINAS,SP
-11.6934269,-62.6874995,69,36421010,78970000,CENTRO,"CAPITAO SILVIO, 256",SILVA & SILVA PRODUTOS FARMACEUTICOS LTDA ME,SAO MIGUEL DO GUAPORE,RO
-22.4654341,-43.1523104,21,22211716,25720365,CORREAS,"PCA LUIZ FURTADO DA ROSA, 74",DROGARIA ATIVA LTDA,PETROPOLIS,RJ
-30.0531122,-51.2245751,51,32353064,90150090,MENINO DEUS,RUA MUCIO TEIXEIRA 680 103/104,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,PORTO ALEGRE,RS
-21.4093762,-48.5489433,16,32532919,15900000,CENTRO,RUA ANTONIO PAES DE CAMARGO Nº99,DROGACENTRO DE TAQUARITINGA LTDA - ME,TAQUARITINGA,SP
-11.7098075,-47.730752,63,33721274,77370000,CENTRO,"RUA FILADELFIO NUNES, 201",DROGARIA NOSSA SENHORA DAS GRACAS LIMITADA,NATIVIDADE,TO
-25.4086668,-49.2511998,41,32138376,80035000,CABRAL,"MUNHOZ DA ROCHA, 744",FARMACIA E DROGARIA NISSEI LTDA,CURITIBA,PR
-4.2561028,-55.9887745,93,30844646,68180030,CENTRO,"AV NOVA DE SANTANA, 34",DISTRIBUIDORA BIG BENN S.A,ITAITUBA,PA
-19.9919819,-44.0115825,31,33814212,30642480,SANTA HELENA (BARREIRO),"CRUZEIRO DO SUL, 1144",DROGARIA BRAGANCA LTDA ME,BELO HORIZONTE,MG
-22.7663634,-43.3348977,16,39541230,14270000,CENTRO,RUA NOVE DE JULHO,REGINA DONIZETI DA SILVA DROGARIA ME,SANTA ROSA DE VITERBO,SP
-23.7147616,-50.7294999,43,32671241,86270000,CENTRO,"RUA PREFEITO RAUL PROENCA, 434",FARMACIA BIAGGI LTDA,SAO JERONIMO DA SERRA,PR
-28.1840895,-54.5331926,55,33592173,97900000,CENTRO,"RUA DR. JOAO SEBASTIANY, 418 - SALA B",A COMERCIAL DE MEDICAMENTOS REISDORFER LIMITADA - EPP,CERRO LARGO,RS
-22.1693309,-52.7270122,43,35385791,86380000,VILA AMERICANA,"GUAICURUS, 712A",CLEVERSON CARDOSO DE SIQUEIRA,ANDIRA,PR
-16.7160141,-49.2613339,11,32747400,74823370,SETOR BELA VISTA,RUA T-65 SN QUADRAS-3 LOTE 15,DROGARIA SAO PAULO S.A.,GOIANIA,GO
-22.7663634,-43.3348977,41,3213-824,81910000,SITIO CERCADO,"RUA IZAAC FERREIRA DA CRUZ, 3309",FARMACIA E DROGARIA NISSEI S.A.,CURITIBA,PR
-20.1395911,-41.2952465,27,37331096,29630000,CENTRO,"AV FIRMINO TEIXEIRA GRIFFO, 316",JOSE CARLOS DA ROCHA GRIFFO,BREJETUBA,ES
-22.7469586,-47.6492079,18,38761257,17990000,CENTRO,"AV PAULISTA, 1439",JOAMYR ROBERTO SEVERINO ME,PAULICEIA,SP
-26.9180096,-49.0640344,47,33223092,89010000,CENTRO,RUA XV DE NOVEMBRO Nº550,DROGARIA E FARMACIA CATARINENSE S A,BLUMENAU,SC
-23.9646047,-46.3828672,11,37695736,11310913,CENTRO,"Avenida PRESIDENTE WILSON, 256",RAIA DROGASIL S/A,SAO VICENTE,SP
-19.7513531,-47.9224418,34,33383644,38010000,CENTRO,"LEOPOLDINO DE OLIVEIRA, 3422",DROGAN DROGARIAS LTDA,UNAI,MG
-26.3410481,-51.038615,54,33131900,89560000,CENTRO,"RUA SAUL BRANDALISE, 120 - LOJA 01A",COMERCIO DE MEDICAMENTOS BRAIR LTDA,VIDEIRA,SC
-16.7059815,-49.2004492,64,36551321,75880000,CENTRO,"AV PRESIDENTE TANCREDO NEVES, S/N, QD-12, LT-08-A",DROGARIA PARANAIGUARA LTDA - EPP,PARANAIGUARA,GO
-22.8821976,-47.0625597,19,32414908,13075350,VILA NOVA,"R MONS JERONIMO BAGGIO, 227",DROGA DA LAGOA LTDA - ME,CAMPINAS,SP
-21.3252533,-42.0519496,22,38520067,28460000,SANTA TEREZA,"AV. CARVALHO, 580",MAURO CESAR LOMBA MACHADO M E,MIRACEMA,RJ
-22.9055651,-47.0686427,11,33472800,13013160,CENTRO,AV. ANDRADE NEVES 532,DROGARIA SÃO PAULO S.A.,CAMPINAS,SP
-30.6463346,-53.5827618,51,35111067,96570000,CENTRO,rua XV DE NOVEMBRO 400,DROGARIA MAIS ECONOMICA S.A.,CACAPAVA DO SUL,RS
-15.7531789,-48.3078624,18,32661156,19180000,CENTRO,"DUQUE DE CAXIAS, Nº 246",FARMACIA MARCONDENSE LIMITADA-ME,ALFREDO MARCONDES,SP
-28.6628242,-49.3678533,48,34344785,88801050,CENTRO,"RUA CONSELHEIRO JOAO ZANETTE, 61",CIA LATINO AMERICANA DE MEDICAMENTOS,CRICIUMA,SC
-22.1166898,-43.2073984,24,22521080,25802310,CENTRO,"PRAÇA DA AUTONOMIA, Nº 98",DROGARIA CENTRAL DE TRES RIOS LTDA,TRES RIOS,RJ
-23.0813428,-52.4638687,44,30452589,87704010,CENTRO,"RUA GETULIO VARGAS, 1245 - 1235 E 1239",RAIA DROGASIL S/A,PARANAVAI,PR
-27.3173866,-50.83848,49,32450101,89634000,CENTRO,"R. PALMARES, 668, A 150",FARMACIA PRECO BOM COMERCIO DE MEDICAMENTOS LTDA - ME,BRUNOPOLIS,SC
-20.4655458,-54.6286897,19,34696006,13474470,CONJUNTO HABITACIONAL ANTONIO,"AVENIDA CECILIA MEIRELLES, 356 - CONJUNTO HABITACIONAL ANTONIO ZANAGA II",DROGAL FARMACEUTICA LTDA,AMERICANA,SP
-26.9658281,-52.2169187,49,33536554,89825000,CENTRO,"PLINIO ARLINDO DE NES, 1252, SALA",DROGARIA SAO LUIZ LTDA-ME,XAXIM,SC
-22.2392179,-49.7705969,14,34710883,17400000,VILA REBELO,"RUA  CARLOS FERRARI, Nº 980",ROBERTO GOMES MARIANO,GARCA,SP
-20.3080517,-40.3688174,27,33369255,29153100,PORTO DE SANTANA,PRINCIPAL 143,FARMANET LTDA ME,CARIACICA,ES
-25.5339262,-48.5331124,41,32138376,83203010,CENTRO,"RUA XV DE NOVEMBRO, 358",FARMACIA E DROGARIA NISSEI LTDA,PARANAGUA,PR
-25.293779,-49.222073,41,32138240,83414290,CENTRO,"RUA FRANCISCO BUSATO, 7912",FARMACIA E DROGARIA NISSEI LTDA,COLOMBO,PR
-22.8907792,-47.0631694,19,32324360,13020433,GUANABARA,AV. BARÃO DE ITAPURA Nº1888/1890,DROGASIL S.A.,CAMPINAS,SP
-6.0020515,-42.9659057,89,35215200,64800000,CENTRO,"AV. BUCAR NETO, 702",NOVA DROGAMINAS LTDA,FLORIANO,PI
-29.5119579,-51.915752,51,35116754,95880000,CENTRO,"MARECHAL FLORIANO, 217",DROGARIA MAIS ECONOMICA LTDA,ESTRELA,RS
-21.8626123,-47.0924308,19,36716710,13700000,CENTRO,R DR. ANTONIO BARRETO 136,MARGARETH PATREZI ZANATTA & CIA. LTDA - ME,CASA BRANCA,SP
-19.7455514,-47.932952,34,33122726,38010020,CENTRO,RUA ARTHUR MACHADO Nº 30,DROGAVIDA COMERCIAL DE DROGAS LTDA,UBERABA,MG
-3.7240563,-53.7354963,93,35351007,68140000,CENTRO,"AV PERIMETRAL SUL, 550",E. A. AGUIAR - ME,URUARA,PA
-22.9692391,-49.867526,11,32747400,19900101,CENTRO,RUA CARDOSO RIBEIRO 567,DROGARIA SAO PAULO S.A.,OURINHOS,SP
-27.5797981,-48.5443346,48,32258885,88025500,AGRONOMICA,"RUA DELMINDA SILVEIRA, 485 - LOJA 02 E 03",CIA LATINO AMERICANA DE MEDICAMENTOS,FLORIANOPOLIS,SC
-22.723093,-47.6350607,19,34227665,13416230,VILA MONTEIRO,AVENIDA INDEPENDENCIA Nº 2548,DROGAL FARMACÊUTICA LTDA,PIRACICABA,SP
-25.1295806,-50.149827,42,30268230,84043000,OFICINAS,"AV VISCONDE DE MAUA, 2213",GLAPINSKI & GLAPINSKI LTDA,PONTA GROSSA,PR
-30.2823738,-56.2555039,54,33131900,97560000,CENTRO,"RUA SETE DE SETEMBRO, 768",COMERCIO DE MEDICAMENTOS BRAIR LTDA,QUARAI,RS
-29.1655649,-51.1788033,54,33177083,95020450,CENTRO,"RUA VINTE DE SETEMBRO, 2365",COMERCIO DE MEDICAMENTOS BRAIR LTDA,CAXIAS DO SUL,RS
-7.1235884,-34.980287,83,32291175,58300010,CENTRO,"PRACA ANTENOR NAVARRO, 24",CAMILA FARMA COMERCIO DE MEDICAMENTOS LTDA - EPP,SANTA RITA,PB
-22.4472768,-46.8252838,19,38632098,13974625,CENTRO,DA PENHA,EDUARDO CAVALARI DROGARIA - EPP,ITAPIRA,SP
-23.1139073,-46.5529792,11,44116986,12940500,CENTRO,RUA JOAO PIRES 89,DROGARIA DLL LTDA - ME,ATIBAIA,SP
-23.1790205,-47.3290618,11,40289632,13327400,JARDIM SAO JUDAS TADEU,rua SAO PEDRO 47,DROGA LEAO CENTRO LTDA,SALTO,SP
-15.8022785,-48.065504,61,33280163,70733520,ASA NORTE,"SHC/NORTE CL - QUADRA 104, BL B, LOJA 02/08",DROGASIL S/A,BRASILIA,DF
-26.2686547,-48.8246514,47,34354470,89227045,Iririu,"RUA IRIRIU, 1476",CIA LATINO AMERICANA DE MEDICAMENTOS,JOINVILLE,SC
-22.2141376,-42.415826,22,25662211,28660000,CENTRO,"R. NILO PECANHA, LOJA 01",IRMAOS REGHINI LTDA ME,BOM JARDIM,RJ
-22.5966671,-48.8007691,14,32630177,18680030,CENTRO,R XV DE NOVEMBRO 812,FLAVIA LUDOVICO & CIA LTDA - EPP,LENCOIS PAULISTA,SP
-15.4676289,-58.3560477,12,35417141,13600050,CENTRO,"RUA FRANCISCO LEITE, Nº 79",SERGIO JOSE SENEDA - EPP,ARARAS,SP
-22.8499567,-43.3801392,11,32747400,21670900,GUADALUPE,"AVENIDA BRASIL, 22155, LOJA 113-26 - 1. PAVIMENTO",DROGARIA SAO PAULO S.A.,RIO DE JANEIRO,RJ
0.0384901,-51.0544061,91,30844671,68901130,TREM,"RUA LEOPOLDO MACHADO, 2664",DISTRIBUIDORA BIG BENN S.A,MACAPA,AP
-23.5426745,-46.6489961,11,37426257,5724003,MORUMBI,AV. GIOVANNI GRONCHI Nº 5819 LOJA 134,DROGASIL S.A.,SAO PAULO,SP
-20.0408916,-44.2471227,31,35431209,32900000,CENTRO,"AVENIDA CLOVIS SALGADO, Nº 505",DROGA DINO LTDA ME,IGARAPE,MG
-25.4011938,-49.2068822,41,32138242,82840170,BAIRRO ALTO,"RUA ALBERICO FLORES BUENO, 863",FARMACIA E DROGARIA NISSEI LTDA,CURITIBA,PR
-21.885981,-54.15588,19,36521362,13860000,CENTRO,"RUA VALINS, 662",JOSE APARECIDO PAULA DE CARVALHO,AGUAI,SP
-24.9486286,-53.4351616,41,32138376,85812010,CENTRO,"AV PARANA, 2147",FARMACIA E DROGARIA NISSEI LTDA,CASCAVEL,PR
-29.5045371,-50.9819156,54,32882345,95670000,VARZEA GRANDE,"AV. PRIMEIRO DE MAIO, Nª 1530 - SALA 118 A",ALCEU KLEINKAUF & CIA.LTDA.,GRAMADO,RS
-2.5468119,-44.2289383,91,30844609,65053770,COHATRAC I,"AVENIDA CONTOR LESTE, 19",DISTRIBUIDORA BIG BENN LTDA,SAO LUIS,MA
-22.1693309,-52.7270122,18,37223658,16900023,CENTRO,"RUA ALEXANDRE SALOMÃO, Nº 1558",ANTONIO APARECIDO MORETTI & CIA LTDA,ANDRADINA,SP
-30.8867463,-55.5462102,51,35111067,97573001,CENTRO,rua DOS ANDRADAS 483,DROGARIA MAIS ECONOMICA S.A.,SANTANA DO LIVRAMENTO,RS
-15.9032955,-48.4054717,62,33363336,72920000,CENTRO,"AVENIDA VALE DO SOL SN QUADRA 51 LT 03/04, SN - ESQUINA COM A RUA 26",SUELMA PEREIRA GOMES & CIA LTDA - ME,ALEXANIA,GO
-12.8571648,-38.3123797,71,32481060,41830000,PITUBA,"AVENIDA MANOEL DIAS DA SILVA, Nº 2249, QD.025-LT.005",RAIA DROGASIL S/A,SALVADOR,BA
-22.8554758,-43.243687,21,25732000,21044251,BONSUCESSO,"TEIXEIRA RIBEIRO, 689, LOJA",FARMACIA MELLO LEAL LTDA ME,RIO DE JANEIRO,RJ
-22.1240819,-51.116815,18,32751339,19500000,CENTRO,"AVENIDA CEL JOAO GOMES MARTINS, 510",E. FERRAZ - COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - EPP,MARTINOPOLIS,SP
-23.229092,-51.7032374,44,32343114,86730000,CENTRO,"AVENIDA PRESIDENTE VARGAS, Nº 20",EDEZIO BALLAROTI & CIA LTDA,ASTORGA,PR
-23.959967,-46.3408801,11,37695736,11065002,CAMPO GRANDE,"AV DOUTOR BERNARDINO DE CAMPOS, 613",RAIA DROGASIL S/A,SANTOS,SP
-20.3714858,-40.3911252,27,32169575,29141849,PADRE GABRIEL,RUA ELOI FERREIRA DA SILVA S/N,JOSUE GOMES DE BRITO - ME,CARIACICA,ES
-20.3357324,-40.3853895,27,32268503,29146140,CAMPO GRANDE,"Rua MINISTRO EURICO SALLES, 43",DROGARIA ATIVA LTDA ME,CARIACICA,ES
-15.7943865,-49.5550954,16,33921356,14820000,CENTRO,AVENIDA JOAQUIM AFONSO DA COSTA Nº 198,JOÃO ORÁVIO DE FREITAS & CIA LTDA,AMERICO BRASILIENSE,SP
-23.5156446,-47.442299,15,32245500,18025200,BARCELONA,"AVENIDA PARAGUAI, 604",MACER DROGUISTAS LTDA,SOROCABA,SP
-22.4381331,-46.8258894,19,38630782,13974000,SANTA CRUZ,SALDANHA MARINHO 444,FARMACIA SANTA CRUZ DE ITAPIRA LTDA EPP,ITAPIRA,SP
-23.698553,-53.2935595,44,36222571,87501030,CENTRO,"AVENIDA PARANA, Nº 3893, FARMACIA",TIAGOFARMA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA-EPP,UMUARAMA,PR
-12.9712841,-38.4882766,71,33053217,40301155,CAJAZEIRAS,"VIA DE PENETRACAO A QUADRA B LOTE 10, SN - ROTULA F GRANDE III",G B COMERCIAL DE MEDICAMENTOS LTDA ME,SALVADOR,BA
-20.5014533,-55.8969621,79,31794642,49030250,FAROLANDIA,"AVENIDA JOSINO J. DE ALMEIDA, Nº 205",FARMACIA EDILMA LTDA ME,ARACAJU,SE
-20.325851,-48.3491981,17,33313312,14790000,CENTRO,R 8 519,HELIO TOSHIUKI NISHIDA - ME,GUAIRA,SP
-25.4389034,-49.2664059,41,32138242,81630000,CENTRO,PRAÇA TIRADENTES 38,FARMACIA E DROGARIA NISSEI LTDA,CURITIBA,PR
-15.8022785,-48.065504,61,32262323,70307902,ASA SUL,"SCS QUADRA 07, BL A, LJ 1T",DROGASIL S/A,BRASILIA,DF
-27.8579323,-54.4537941,55,35130046,98900000,CENTRO,AV RIO BRANCO 347,COMERCIO DE MEDICAMENTOS BRAIR LTDA,SANTA ROSA,RS
-27.5966,-48.554914,48,32239050,88010040,CENTRO,RUA ALVARO DE CARVALHO 140,CIA LATINO AMERICANA DE MEDICAMENTOS,FLORIANOPOLIS,SC
-15.7531789,-48.3078624,28,3552-168,29500000,CENTRO,"AVENIDA JERONIMO MONTEIRO, SN - LOJA 8",DROGARIA ANGELETE LTDA. - ME,ALEGRE,ES
-24.0570441,-52.4165829,44,35241074,87305260,LAR PARANA,"AV PRESIDENTE JOHN KENNEDY, 43",M R NEVES & WEILER LTDA - ME,CAMPO MOURAO,PR
-6.5998617,-44.0724995,99,35551887,65870000,SAO JOSE,"AV DOMINGOS SERTAO, 1575",MIGUEL P DINIZ FILHO - ME,PASTOS BONS,MA
-27.1151742,-51.0849641,49,35321251,89642000,CENTRO,"FRANCISCO NARDI, Nº 290",FARMACIA NOSSA LTDA EPP,TANGARA,SC
-18.9113046,-48.2621925,34,32371119,38405218,JARDIM BRASILIA,RUA ASTRAL 75,DROGARIA CIENTIFICA LTDA - ME,UBERLANDIA,MG
-23.2820003,-51.2802015,43,32543332,86181010,CENTRO,AV. BRASIL Nº39,CAMBEDROGAS LTDA.,CAMBE,PR
-22.5461197,-47.3884797,11,32747400,13484290,VILA ANITA,AVENIDA RIO CLARO 282 292,DROGARIA SAO PAULO S.A.,LIMEIRA,SP
-23.720587,-47.1950234,11,3769-573,18150000,61.585.865/0001-51,"RUA XV DE NOVEMBRO, 186  192",RAIA DROGASIL S/A,IBIUNA,SP
-23.0012614,-47.4595348,19,34911055,13360000,CENTRO,"farmacia FERNANDO DE BARROS, 624 -1º ANDAR - SALA 2",DROGARIA CAPIVARIANA LTDA - ME,CAPIVARI,SP
-24.7305181,-53.2584745,45,32421545,85420000,CENTRO,"RUA AMOR PERFEITO, Nº 1826",FARMACIA BELIAFARMA LTDA,CORBELIA,PR
-23.1146193,-51.537061,43,32721533,86610000,CENTRO,"AVENIDA MINAS GERAIS, Nº 120",FARMACIA FARMAVI LTDA-ME,JAGUAPITA,PR
